21
15
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2
2,0,0,0,0,0,2,2,2,0,0,2,0,2,4,2,5,2,4,2,2
2,0,0,0,0,0,2,4,2,0,0,2,0,0,2,0,2,4,2,0,2
2,0,2,2,2,2,1,1,1,2,2,2,0,0,0,0,0,4,0,0,2
2,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,2
2,2,2,0,0,0,2,0,2,2,2,2,4,0,0,0,0,4,0,0,2
2,4,2,5,2,2,2,0,2,2,2,2,2,4,0,0,0,4,0,0,2
2,0,2,2,2,0,2,0,2,0,2,2,0,2,0,0,0,4,0,0,2
2,0,2,0,2,0,0,0,0,0,2,2,0,0,4,0,0,4,0,0,2
2,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,2
2,0,2,0,2,0,2,0,2,0,2,2,0,0,0,4,0,4,0,0,2
2,s,2,0,2,5,2,0,2,0,2,2,0,0,0,2,5,0,0,0,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
